,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
343,2015-12-09 23:00:00,12.738248,0.0,20.730501,1.6297508
344,2015-12-10 23:00:00,12.332001,0.0,14.759999,1.6869192
345,2015-12-11 23:00:00,12.298667,0.0,13.75558,1.8791342
346,2015-12-12 23:00:00,12.786166,0.0,15.629972,1.9623517
347,2015-12-13 23:00:00,12.404916,0.0,8.669949,1.5903218
348,2015-12-14 23:00:00,12.169502,0.0,8.707238,1.6556364
349,2015-12-15 23:00:00,13.317417,0.0,10.390226,1.8276064
350,2015-12-16 23:00:00,12.738251,0.0,8.39657,1.5945494
351,2015-12-17 23:00:00,13.327835,0.0,7.968939,1.642065
352,2015-12-18 23:00:00,13.317417,0.0,9.693296,1.6214701
353,2015-12-19 23:00:00,13.248668,0.0,8.287822,1.6182867
354,2015-12-20 23:00:00,12.5007515,0.0,7.42159,1.3321757
355,2015-12-21 23:00:00,12.388248,0.0,10.691453,1.4756035
356,2015-12-22 23:00:00,13.379917,0.0,12.287555,1.7554677
357,2015-12-23 23:00:00,13.186169,0.0,11.885453,1.8109226
358,2015-12-24 23:00:00,13.02575,0.0,9.826088,1.6028839
359,2015-12-25 23:00:00,11.409083,0.0,8.766573,1.4115193
360,2015-12-26 23:00:00,11.629918,0.0,14.345898,1.6612105
361,2015-12-27 23:00:00,11.702832,0.0,12.6462,1.6029862
362,2015-12-28 23:00:00,12.3195,0.1,12.313893,1.8035271
363,2015-12-29 23:00:00,13.47575,0.0,17.935081,1.5406369
364,2015-12-30 23:00:00,13.919499,0.0,17.81909,1.6143321
365,2015-12-31 23:00:00,13.513249,0.0,7.771331,1.5672486
366,2016-01-01 23:00:00,14.846581,2.5,23.683512,2.445552
367,2016-01-02 23:00:00,15.661168,2.3,28.639803,1.2915031
368,2016-01-03 23:00:00,19.111168,0.0,37.30302,3.7586863
369,2016-01-04 23:00:00,16.288252,15.3,35.09954,1.7641566
370,2016-01-05 23:00:00,12.452834,3.7,39.609814,2.5568519
371,2016-01-06 23:00:00,15.188249,0.0,35.281837,3.1536422
372,2016-01-07 23:00:00,16.050753,0.0,18.514643,2.785533
373,2016-01-08 23:00:00,17.054916,0.0,26.089447,3.3667204
374,2016-01-09 23:00:00,16.0445,0.0,27.532352,3.0038872
375,2016-01-10 23:00:00,15.571582,0.0,25.984917,2.8880281
376,2016-01-11 23:00:00,14.915334,1.5,24.590923,1.8048716
377,2016-01-12 23:00:00,11.771584,0.0,9.565437,1.7169921
378,2016-01-13 23:00:00,12.5632515,0.0,14.57889,1.983853
379,2016-01-14 23:00:00,12.317418,26.9,24.162947,0.81030774
380,2016-01-15 23:00:00,9.379916,11.600001,31.875755,1.9412497
381,2016-01-16 23:00:00,9.725751,0.0,18.374111,2.176298
382,2016-01-17 23:00:00,9.800751,0.0,20.523157,2.3198495
383,2016-01-18 23:00:00,11.686168,1.1,19.914217,1.705265
384,2016-01-19 23:00:00,11.161166,0.0,19.852295,1.5094504
385,2016-01-20 23:00:00,11.467416,2.8999999,16.167967,0.9628504
386,2016-01-21 23:00:00,11.961166,0.0,11.720751,1.4477166
387,2016-01-22 23:00:00,11.054917,0.0,10.182337,1.7859826
388,2016-01-23 23:00:00,12.631999,0.0,13.18308,1.9763868
389,2016-01-24 23:00:00,13.713249,0.0,11.165805,2.0766242
390,2016-01-25 23:00:00,13.652835,0.0,10.495713,2.068394
391,2016-01-26 23:00:00,13.257,0.0,10.30883,1.7720511
392,2016-01-27 23:00:00,12.829917,0.0,13.584932,1.9208755
393,2016-01-28 23:00:00,12.029918,0.0,14.33234,1.6724409
